,obs_mean_1961_1990,historical_mean_1961_1990,historical_p05_1961_1990,historical_p95_1961_1990,obs_mean_1971_2000,historical_mean_1971_2000,historical_p05_1971_2000,historical_p95_1971_2000,obs_mean_1981_2010,historical_mean_1981_2010,historical_p05_1981_2010,historical_p95_1981_2010,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,24.33,21.96,13.91,34.68,23.53,22.61,13.78,35.74,23.79,23.19,14.36,36.52,24.1,14.58,38.07,24.75,15.39,37.58,23.81,14.79,37.08,25.74,15.76,39.83,23.43,14.92,35.23,26.21,15.95,42.09
csdiETCCDI,1.43,2.65,0.0,12.04,2.07,2.75,0.0,11.29,1.27,2.14,0.0,9.46,0.31,0.0,1.58,0.44,0.0,2.51,0.22,0.0,1.04,0.26,0.0,1.56,0.14,0.0,0.56,0.07,0.0,0.37
cwdETCCDI,9.67,10.69,7.39,15.46,10.89,10.54,7.23,15.05,10.48,10.49,7.23,15.0,10.67,7.24,15.9,10.37,7.18,15.14,10.69,7.48,15.31,10.48,7.26,15.29,10.89,7.7,15.39,10.39,7.26,14.7
dtrETCCDI,6.98,6.98,6.63,7.32,6.96,6.95,6.59,7.31,7.05,6.93,6.57,7.3,7.0,6.64,7.38,6.96,6.61,7.31,7.04,6.69,7.4,6.98,6.6,7.34,7.0,6.67,7.38,7.03,6.7,7.39
fdETCCDI,0.0,20.18,11.66,30.15,0.0,20.1,12.02,30.48,0.0,19.27,10.99,29.02,12.58,5.84,21.07,13.47,6.34,21.42,11.51,5.06,19.07,11.43,5.17,18.97,10.66,5.17,17.96,6.41,2.26,11.91
gslETCCDI,365.23,340.43,317.92,358.98,365.27,340.49,316.88,359.06,365.23,342.17,318.19,360.22,352.82,335.91,363.69,351.61,335.83,363.15,354.4,337.49,364.04,353.95,338.39,363.6,354.69,339.66,363.22,360.23,351.71,364.42
hi27,,98.49,82.83,114.84,,99.46,82.62,115.64,,102.55,85.38,119.93,121.5,105.56,137.45,119.34,102.17,137.62,124.26,109.65,139.99,126.07,109.94,142.79,125.9,111.14,140.85,147.11,130.02,164.24
hi32,,63.27,45.91,80.61,,64.04,45.5,80.68,,66.92,48.95,82.67,81.01,65.15,95.99,80.88,64.53,97.57,82.76,66.68,97.28,86.09,69.63,102.03,84.92,68.61,99.57,105.41,87.29,122.57
hi41,,7.61,0.71,19.88,,8.34,0.62,20.45,,10.02,1.05,22.89,28.76,11.07,48.19,28.35,11.27,47.61,31.31,13.91,50.01,35.19,17.05,55.3,33.44,16.81,50.84,54.97,34.29,74.14
hi54,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.13,0.02,0.0,0.17,0.15,0.0,0.62,0.05,0.0,0.24,3.04,0.0,9.55
idETCCDI,0.0,1.3,0.03,3.72,0.0,1.29,0.06,4.04,0.0,1.26,0.06,4.13,0.51,0.0,2.14,0.54,0.0,1.91,0.35,0.0,1.53,0.36,0.0,1.41,0.32,0.0,1.34,0.08,0.0,0.39
pr,1380.57,1414.4,1110.24,1728.82,1455.77,1396.7,1089.91,1719.65,1444.33,1385.97,1092.37,1714.49,1415.01,1089.12,1773.62,1385.01,1057.72,1742.69,1429.46,1102.48,1786.09,1384.21,1052.04,1741.57,1455.88,1129.42,1814.9,1390.95,1057.18,1742.38
prcptotETCCDI,1409.6,1494.09,1176.22,1840.57,1419.42,1470.79,1151.74,1809.91,1401.36,1449.18,1124.85,1790.83,1502.32,1163.68,1903.7,1462.08,1109.84,1835.81,1522.18,1180.96,1908.83,1464.05,1105.71,1862.37,1557.94,1222.51,1941.92,1479.02,1128.16,1864.02
r10mmETCCDI,46.11,48.93,37.45,61.08,46.63,48.04,36.53,60.1,46.17,47.29,35.44,59.96,48.16,36.46,61.37,46.68,34.61,59.63,48.47,36.68,61.71,46.27,34.22,60.18,49.93,38.74,62.63,46.05,34.53,58.16
r1mmETCCDI,136.67,138.83,119.46,159.91,137.0,137.19,118.55,157.56,134.66,135.98,116.56,155.45,135.04,114.35,154.68,132.84,113.28,152.02,135.84,114.63,156.93,131.04,110.51,153.0,137.37,116.67,157.13,128.16,107.65,148.14
r20mmETCCDI,20.11,21.42,14.14,29.04,20.32,21.1,13.75,28.86,19.76,20.53,13.37,28.02,22.13,14.45,31.2,21.23,13.69,30.03,22.51,14.44,31.59,21.47,13.88,30.61,23.29,15.73,31.76,21.99,14.59,30.35
r95pETCCDI,332.18,369.02,170.18,593.61,341.71,361.23,171.65,578.87,322.45,353.85,171.3,567.14,419.62,200.62,678.95,403.93,189.31,687.83,435.51,216.6,725.67,422.72,201.94,721.76,451.93,220.02,719.41,470.95,249.53,742.49
r99pETCCDI,93.7,123.9,15.03,280.75,90.4,119.53,10.86,266.75,100.65,119.12,12.87,267.74,161.53,26.12,353.8,151.93,20.87,344.41,173.99,28.91,387.88,166.45,28.75,354.08,178.38,33.31,375.51,203.41,46.9,414.45
rx1dayETCCDI,71.99,80.36,56.02,117.59,69.1,79.83,55.81,118.9,72.12,79.37,56.3,115.77,87.16,58.98,128.89,86.02,59.45,127.98,89.8,59.2,134.5,89.12,60.0,131.04,89.17,61.3,131.66,93.39,64.13,134.37
rx5dayETCCDI,137.33,150.88,106.36,215.2,141.39,149.89,105.47,214.1,139.98,148.81,105.17,212.41,161.65,113.93,236.28,159.19,109.21,237.91,164.71,113.63,240.8,162.59,111.23,234.9,164.12,114.84,236.54,169.43,118.39,245.94
