,obs_mean_1961_1990,historical_mean_1961_1990,historical_p05_1961_1990,historical_p95_1961_1990,obs_mean_1971_2000,historical_mean_1971_2000,historical_p05_1971_2000,historical_p95_1971_2000,obs_mean_1981_2010,historical_mean_1981_2010,historical_p05_1981_2010,historical_p95_1981_2010,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,76.22,61.15,35.14,99.01,79.05,62.2,34.68,99.16,77.76,61.62,34.53,95.96,58.18,32.4,91.65,59.68,34.48,92.98,56.37,32.76,90.49,58.06,34.27,89.05,56.66,33.75,90.71,54.22,31.55,87.85
csdiETCCDI,2.07,3.57,0.0,13.05,1.97,3.97,0.0,14.17,1.7,3.41,0.0,13.66,0.92,0.0,4.63,0.91,0.0,4.6,0.71,0.0,3.85,0.67,0.0,3.79,0.91,0.0,5.27,0.14,0.0,0.24
cwdETCCDI,4.44,9.1,5.32,14.74,4.37,9.07,5.35,15.05,4.28,9.35,5.28,15.71,9.92,5.59,16.49,10.03,5.74,16.5,10.21,5.77,16.78,10.02,5.76,16.19,10.24,5.98,15.99,10.74,6.3,17.51
dtrETCCDI,9.75,11.53,10.73,12.29,9.76,11.42,10.61,12.19,9.9,11.33,10.46,12.17,11.19,10.42,11.94,10.99,10.24,11.7,11.24,10.48,11.98,10.94,10.23,11.67,11.27,10.5,12.03,10.72,10.01,11.41
fdETCCDI,0.0,147.83,137.16,157.96,0.0,147.11,135.38,157.8,0.0,145.02,132.72,156.57,133.17,121.93,144.08,134.72,122.47,146.26,130.66,118.95,141.91,129.67,116.81,142.13,129.68,118.5,141.67,112.97,99.62,126.55
gslETCCDI,365.23,224.05,207.9,241.07,365.27,224.01,207.75,240.53,365.23,226.23,209.61,243.8,237.82,220.63,255.54,235.46,218.97,252.2,240.22,222.53,258.62,240.02,223.8,258.29,241.34,224.44,257.34,255.38,236.79,273.73
idETCCDI,0.0,55.83,38.86,73.94,0.0,55.67,37.7,74.65,0.0,52.97,33.51,72.83,39.8,24.15,57.02,41.16,25.15,58.95,37.43,21.99,53.94,37.33,21.88,54.62,36.59,19.88,55.18,23.32,11.42,38.74
pr,508.47,624.96,418.16,852.67,505.03,621.9,415.48,846.75,475.3,632.07,428.42,877.39,708.94,479.72,970.84,697.26,484.31,962.28,718.69,504.6,983.16,713.83,506.51,979.47,730.63,501.99,994.83,784.29,557.5,1052.66
prcptotETCCDI,530.77,582.77,383.48,812.28,527.01,587.33,386.94,820.9,505.81,594.56,398.02,847.03,665.31,434.88,928.44,657.16,444.21,923.45,677.93,454.42,955.32,675.98,475.36,957.82,690.32,448.05,945.17,756.39,528.75,1044.75
r10mmETCCDI,16.22,17.31,10.44,25.02,16.32,17.32,10.4,24.85,15.9,17.58,10.65,26.01,20.0,12.31,28.44,19.53,12.25,27.83,20.42,12.82,29.33,20.05,13.13,28.31,20.57,12.99,28.34,22.22,15.16,30.6
r1mmETCCDI,55.0,73.14,58.74,88.77,54.53,73.26,58.06,88.53,53.45,73.2,58.37,88.34,77.01,60.83,93.64,75.59,61.28,91.03,77.58,62.66,93.89,75.65,60.84,90.93,78.15,62.83,93.53,79.45,64.87,94.9
r20mmETCCDI,7.11,6.46,2.79,10.63,6.53,6.55,2.9,10.94,6.52,6.68,3.22,11.45,7.75,3.39,12.63,7.69,3.84,12.92,7.95,3.62,13.14,8.02,4.19,12.93,8.11,3.84,12.99,9.27,5.1,14.61
r95pETCCDI,148.43,157.96,37.48,304.61,147.88,161.5,41.56,329.35,133.35,165.12,44.33,338.48,203.15,65.82,390.95,204.79,62.68,402.81,209.05,69.86,407.25,219.32,74.0,431.86,218.72,68.32,410.32,270.27,106.41,481.54
r99pETCCDI,42.12,51.23,0.0,146.52,50.22,54.82,0.0,162.78,40.25,57.5,1.63,174.09,73.3,3.09,211.48,78.11,2.83,200.2,78.93,3.74,213.93,87.1,4.32,220.5,86.64,4.47,234.44,121.33,16.71,268.8
rx1dayETCCDI,70.16,57.11,32.44,89.68,66.42,58.6,33.39,93.65,61.44,59.38,35.05,98.13,64.16,36.82,102.31,65.7,37.28,104.79,66.22,38.75,107.22,68.97,39.57,109.23,67.9,38.09,109.47,77.88,44.71,122.68
rx5dayETCCDI,111.54,104.44,56.88,168.94,104.53,107.06,58.74,179.44,97.75,108.98,61.45,186.7,118.58,64.33,198.53,120.9,67.74,195.31,122.56,68.36,207.69,126.06,70.71,205.49,124.93,69.43,204.29,139.74,79.08,221.1
sdiiETCCDI,9.68,8.05,6.1,10.17,9.62,8.1,6.15,10.6,9.42,8.2,6.23,10.81,8.71,6.53,11.35,8.85,6.63,11.66,8.84,6.54,11.74,9.08,6.87,11.9,8.94,6.58,11.43,9.71,7.41,12.36
