,obs_mean_1961_1990,historical_mean_1961_1990,historical_p05_1961_1990,historical_p95_1961_1990,obs_mean_1971_2000,historical_mean_1971_2000,historical_p05_1971_2000,historical_p95_1971_2000,obs_mean_1981_2010,historical_mean_1981_2010,historical_p05_1981_2010,historical_p95_1981_2010,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,21.89,20.1,12.35,31.09,21.68,20.17,12.6,30.59,20.66,20.47,12.85,31.47,22.43,14.03,35.05,22.73,13.86,36.51,23.17,14.42,36.32,23.55,14.19,37.8,22.97,14.59,34.6,26.87,16.76,42.22
csdiETCCDI,4.97,5.13,0.6,17.6,5.33,4.74,0.6,16.21,6.07,4.29,0.6,14.61,2.38,0.6,8.94,1.99,0.6,7.95,2.12,0.6,8.06,1.43,0.6,5.35,1.94,0.6,7.26,0.87,0.6,2.1
cwdETCCDI,13.44,11.73,7.93,16.89,12.84,11.87,8.03,16.92,12.03,11.9,8.1,17.42,11.76,8.17,16.57,12.05,8.04,17.81,11.73,7.92,16.62,11.94,8.12,17.69,11.79,8.15,16.75,11.78,7.83,17.46
dtrETCCDI,6.67,6.67,6.1,7.25,6.74,6.69,6.13,7.26,6.83,6.71,6.18,7.3,7.04,6.47,7.64,6.97,6.41,7.53,7.13,6.55,7.74,7.02,6.48,7.63,7.06,6.51,7.63,7.2,6.61,7.79
fdETCCDI,0.0,36.03,19.94,56.27,0.0,33.16,17.15,53.27,0.0,30.04,13.44,50.32,22.77,10.25,39.57,21.43,9.01,36.92,21.94,9.52,37.89,17.83,6.44,32.92,20.44,8.47,36.94,10.04,2.16,22.31
gslETCCDI,365.23,318.74,275.4,355.42,365.27,323.34,282.23,358.81,365.23,327.89,288.73,359.93,337.15,303.86,363.28,339.54,308.73,363.92,338.59,304.56,363.54,344.09,311.59,364.36,341.01,307.07,363.62,353.24,327.61,364.42
hi27,,15.24,4.45,30.64,,16.64,5.14,32.34,,19.0,5.46,37.88,33.83,14.92,55.81,34.69,15.62,56.33,37.48,19.0,58.45,42.48,21.47,68.61,37.25,17.48,59.57,66.68,41.14,93.24
hi32,,1.5,0.0,5.24,,1.63,0.0,5.53,,2.05,0.0,7.18,6.84,0.88,16.78,7.37,1.15,17.61,8.09,1.48,18.08,10.39,2.0,23.53,7.88,1.21,17.35,23.54,7.83,42.76
hi41,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.02,0.0,0.14,0.04,0.0,0.15,0.03,0.0,0.24,0.11,0.0,0.44,0.03,0.0,0.17,1.0,0.0,3.44
hi54,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idETCCDI,0.0,4.27,0.16,11.75,0.0,3.85,0.08,11.0,0.0,3.32,0.06,10.02,1.64,0.03,6.12,1.46,0.0,5.84,1.4,0.0,5.23,0.93,0.0,4.01,1.19,0.0,4.27,0.43,0.0,1.98
