,ssp126_mean_2021_2050,ssp126_p05_2021_2050,ssp126_p95_2021_2050,ssp370_mean_2021_2050,ssp370_p05_2021_2050,ssp370_p95_2021_2050,ssp126_mean_2035_2064,ssp126_p05_2035_2064,ssp126_p95_2035_2064,ssp370_mean_2035_2064,ssp370_p05_2035_2064,ssp370_p95_2035_2064,ssp126_mean_2071_2100,ssp126_p05_2071_2100,ssp126_p95_2071_2100,ssp370_mean_2071_2100,ssp370_p05_2071_2100,ssp370_p95_2071_2100
cddETCCDI,-0.47,1.39,-1.34,-1.19,-0.18,-1.22,0.56,2.14,0.32,-1.14,0.46,-0.54,-0.43,0.58,-1.22,-3.38,-0.94,-4.77
csdiETCCDI,5.41,6.03,0.61,5.66,5.72,1.56,4.1,4.92,-1.61,3.08,3.26,-2.45,3.05,4.16,-2.55,-2.05,0.0,-8.92
cwdETCCDI,0.17,-0.22,1.95,-0.02,-0.75,-0.23,1.05,0.84,3.8,-0.58,-1.37,-0.95,0.45,0.56,0.82,0.06,-0.61,0.5
dtrETCCDI,0.15,0.11,0.17,0.07,0.03,0.05,0.14,0.08,0.12,0.02,0.0,-0.02,0.13,0.08,0.12,-0.22,-0.28,-0.21
fdETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gslETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idETCCDI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr,62.84,36.66,106.85,81.36,55.8,113.95,80.14,54.95,118.25,123.72,69.76,168.22,113.96,84.38,171.11,246.82,192.6,321.15
prcptotETCCDI,49.8,45.69,81.59,79.33,90.8,95.81,64.89,64.88,81.48,104.79,96.74,121.38,71.37,72.65,82.92,230.68,188.16,287.73
r10mmETCCDI,1.72,1.48,2.14,2.81,3.58,3.02,2.33,2.36,1.33,3.82,3.74,4.11,2.98,3.12,3.03,8.75,7.69,10.58
r1mmETCCDI,2.67,4.34,3.58,5.02,7.37,5.19,3.26,3.35,4.03,5.14,6.31,5.41,4.42,5.47,4.57,10.16,10.13,13.07
r20mmETCCDI,0.88,0.94,0.89,1.09,1.09,1.23,1.13,1.47,1.17,1.8,1.58,2.43,1.15,1.37,1.32,4.08,3.43,4.88
r95pETCCDI,44.72,38.55,44.62,49.12,37.09,54.94,50.93,40.74,50.62,77.83,52.95,93.72,50.87,41.97,57.32,178.5,113.58,216.42
r99pETCCDI,27.75,10.17,44.42,29.35,9.09,49.62,29.29,12.17,51.91,46.51,20.22,77.54,31.07,11.48,55.18,110.12,53.57,174.68
rx1dayETCCDI,2.89,2.2,3.73,3.7,3.0,5.21,3.35,2.91,4.51,4.74,3.86,6.43,3.6,2.68,5.12,11.75,8.71,17.41
rx5dayETCCDI,4.52,2.8,4.44,6.4,4.05,8.7,5.29,4.63,5.82,7.86,7.98,7.76,7.05,6.02,7.94,20.01,15.24,25.21
sdiiETCCDI,0.21,0.24,0.1,0.29,0.45,0.23,0.3,0.36,0.21,0.47,0.49,0.43,0.32,0.49,0.1,1.03,0.96,1.03
suETCCDI,47.37,52.7,39.16,49.3,53.38,44.29,55.68,69.59,43.5,69.09,75.9,58.99,56.35,67.24,45.79,107.36,127.59,84.9
tas,0.98,0.91,1.06,1.03,0.93,1.2,1.21,1.26,1.2,1.51,1.38,1.69,1.34,1.39,1.4,2.94,2.74,3.18
tn10pETCCDI,-2.61,0.5,-6.91,-2.71,0.36,-6.92,-3.37,0.1,-8.58,-3.99,-0.6,-9.2,-3.59,-0.03,-8.76,-5.99,-1.72,-12.12
tn90pETCCDI,26.29,20.46,27.85,28.28,20.32,32.8,31.82,28.73,31.8,41.8,33.44,45.49,32.55,29.1,32.78,67.15,66.39,60.63
tnnETCCDI,0.86,0.84,0.96,1.01,0.94,1.25,1.09,1.07,1.15,1.57,1.39,1.76,1.11,1.04,1.18,3.28,2.93,3.55
tnxETCCDI,0.89,0.95,1.02,0.92,0.84,1.13,1.09,1.19,1.16,1.44,1.31,1.71,1.13,1.22,1.13,2.94,2.73,3.15
trETCCDI,27.99,20.34,35.13,29.16,17.04,40.74,37.29,31.12,41.77,55.01,37.83,74.99,39.37,33.5,44.59,133.64,111.88,152.07
tx10pETCCDI,-4.55,-2.55,-7.44,-4.6,-2.58,-7.63,-5.1,-2.66,-8.55,-5.65,-3.11,-9.21,-5.19,-2.72,-8.8,-7.33,-3.7,-12.51
tx90pETCCDI,20.73,15.29,23.39,20.81,14.55,25.11,24.93,21.61,26.5,30.76,22.83,34.89,25.44,21.0,28.34,51.05,46.67,50.0
txnETCCDI,0.85,0.79,0.86,0.93,0.88,1.01,1.0,0.95,1.03,1.35,1.28,1.52,1.09,1.14,1.07,2.55,2.41,2.64
txxETCCDI,1.5,1.34,1.78,1.41,1.25,1.72,1.77,1.64,2.06,1.89,1.64,2.08,1.73,1.57,2.01,3.42,3.07,3.86
wsdiETCCDI,56.92,26.93,83.38,58.01,26.77,91.38,71.63,44.14,96.01,93.81,46.44,132.62,74.38,42.31,105.96,178.53,133.16,203.84
